"","names","xmin","xmax","ymin","ymax"
"1","r1c1",-180,-90,45,90
"2","r1c2",-90,0,45,90
"3","r1c3",0,90,45,90
"4","r1c4",90,180,45,90
"5","r2c1",-180,-90,0,45
"6","r2c2AA",-90,-80,0,45
"7","r2c2ABA",-80,-75,0,45
"8","r2c2ABB",-75,-45,0,45
"9","r2c2B",-45,0,0,45
"10","r2c3",0,90,0,45
"11","r2c4",90,180,0,45
"12","r3c1",-180,-90,-45,0
"13","r3c2",-90,0,-45,0
"14","r3c3",0,90,-45,0
"15","r3c4",90,180,-45,0
"16","r4c1",-180,-90,-90,-45
"17","r4c2",-90,0,-90,-45
"18","r4c3",0,90,-90,-45
"19","r4c4",90,180,-90,-45
